Rank,Handle,Display Name,Followers,Entity Type,Hawaii-Based,Score,Website,Bio
1,curtw923,,908,influencer,Yes,68,ksskradio.iheart.com/featured/curt-williams,"Public figure
KSSK AM590 & FM92.3 Afternoon Drive Host (2-7p)
ksskradio.iheart.com/featured/curt-williams and 2 more"
2,jaxabreu,"The Secret Life of Jax (Oahu,Hawaii) Prince 'Jax' Abreu",7676,influencer,Yes,55,thesecertlifeofjax.onuniverse.com,"Artist
Hawaii's Celebrity Yorkie
Spreading Aloha, Laughter, Pineapplekisses
HumaneSocietyTherapydog, TalkingSingingDog, Model
thesecertlifeofjax.onuniverse.com"
3,macy_da_opihi,Macy | Dog Tricks - Hawaii,2374,influencer,Yes,52,linktr.ee/macy_da_opihi,"Macy & DeAnna | Dog Trick Creator
Aussie Goldendoodle - Hawaii
Confidence > perfection
Teaching play-based dog..."
4,mshanapaa.mrkoli,Hana & Koli,1993,influencer,Yes,50,linktr.ee/MsHanapaa.MrKoli,"Digital creator
Hana adopted from Kona, HI. CGC
Koli @kauaihumanesociety 10/23/23
Bustah Bendah
Oahu, HI"
5,humphreysaccaro,HUMPHREY,64300,influencer,Yes,38,linktr.ee/humphreysaccaro,"Honolulu, Hawaii
Mommy's boy @sammmysaccaro
7-24-19
Professional rock diver
linktr.ee/humphreysaccaro"
6,sunny_aloha_in_paradise,sunny-aloha,3905,influencer,Yes,38,,"News personality
'Aloha Oprah' ~ Radio Host/PR ~ Past Radio Stations ~ 8 yrs on KPRP 650AM & 1 1/2 yrs with 104.7FM. Sharing Hawaii's..."
7,payapup,Papaya,6659,individual,Yes,35,,"adventures of a fluffy island bear
msha.ke/payapup
Highlights: training (r+), care, interisland, PSD, pup training"
8,thecoconutpages,"The Coconut Pages - FOOD, HEALTH & COMMUNITY COLLAB",8697,influencer,Yes,32,buymeacoffee.com/TanaJanelSuchaya,"Hawaii's food, health & community network
Tag a local brand/business to collab
Book social media
Join channel
buymeacoffee.com/TanaJanelSuchaya"
9,yafavoritelatinaa,Asianna Saragosa-Llarinas,43800,influencer,Yes,30,,"@stanleyxiao / @yafavoritepuppy / @yafavecollectors
KHON2, HINOW, HNN references"
10,whoisgyr,George Y. Russell,875,professional,Yes,30,,"Filmmaker/Producer
Based in Honolulu, Hawaii
Proud yonsei (4th gen. Japanese/American) made up of ðŸ‡¯ðŸ‡µðŸ‡¬ðŸ‡§ðŸ‡¸ðŸ‡ªðŸ‡©ðŸ‡°ðŸ‡§ðŸ‡ªðŸ‡«ðŸ‡·Born...
more"
11,auntie_kai_hawaii,Auntie Kai Hawaii,633,individual,Yes,30,,"Our Life Hawaii 2Explore+Photosâ™¡Weiner Dogs. Everylifefoundation,Congress. 3C Diabetes, Dercum's, Elher's Danlos,..."
12,cocoinhawaii,Dogzilla Boutique,421,local_business,Yes,30,dogzillaboutique.com,"Clothing (Brand)
Aloha! My name is Coco, and I'm a Dogzilla. I love counter surfing, zooming in the park, and spreading pawsitive vibes..."
13,galaxychihuahuas,Galaxy Chihuahua's,3478,pet_industry,Yes,28,sites.google.com/view/galaxychihuahuas/home,"Digital creator
Oahu,Hawaii! We are passionate and dedicated in raising well socialized, top quality applehead Chihuahuas to AKC..."
14,pahoapetgrooming,Pahoa Pet Grooming,335,pet_industry,Yes,28,www.pahoapetgrooming.com,"Pet Groomer
Providing affordable, personalized pet grooming to the Puna District of Hawai'i Island!"
15,qt_and_me,dara Fukuhara,83,individual,No,28,,"This is the journey of a miniature labradoodle puppy, QT, becoming a service dog with her human. Watch us grow!"
